Numero_Processo,Orgao_Demandante,Objeto,Modalidade,Valor_Maximo_Estimado,Valor_Homologado,Situacao,Razao_Social_Vencedora,CNPJ_Vencedor,Data_Evento
25.656329-4,SETI,Licenciamento de banco de dados corporativo e suporte técnico - Fase 3,Pregão Eletrônico,3575139.54,3356276.53,Homologado,Consultoria Eficiente S.A.,56.789.012/0001-56,2025-12-03
24.836038-8,SETI,Desenvolvimento de aplicativo móvel para integração de serviços estaduais - Fase 3,Dispensa de Licitação,3720447.69,3313042.81,Homologado,Datashield Segurança Ltda,89.012.345/0001-45,2025-11-24
25.688967-5,Celepar,Suporte Técnico Especializado para Sistemas de Prontuário Eletrônico da SESA - Fase 2,Dispensa de Licitação,4236850.51,0.0,Revogado,N/A,N/A,2025-11-13
23.794769-6,SEIA,Conectividade e banda larga para Escolas Estaduais da SEED - Fase 1,Pregão Eletrônico,1475033.82,0.0,Revogado,N/A,N/A,2025-11-07
22.799330-1,DETRAN,Desenvolvimento de aplicativo móvel para integração de serviços estaduais - Fase 3,Dispensa de Licitação,1846506.93,1771195.06,Homologado,Inova Sul S.A.,98.765.432/0001-10,2025-11-06
22.910389-7,SETI,Desenvolvimento de aplicativo móvel para integração de serviços estaduais - Fase 3,Inexigibilidade de Licitação,2036606.5,0.0,Fracassado,N/A,N/A,2025-11-05
22.369452-7,CGE,Contratação de consultoria para governança de dados e LGPD - Fase 2,Dispensa de Licitação,2123441.31,1570097.91,Homologado,Inova Sul S.A.,98.765.432/0001-10,2025-10-28
22.714867-3,SEAP,Desenvolvimento do Novo Portal de Transparência da CGE - Fase 1,Inexigibilidade de Licitação,2694037.91,0.0,Deserto,N/A,N/A,2025-10-25
26.986593-5,DETRAN,Contratação de consultoria para governança de dados e LGPD - Fase 1,Pregão Eletrônico,1327919.4,0.0,Deserto,N/A,N/A,2025-10-10
25.240606-6,SEAP,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 1,Pregão Eletrônico,383444.84,,Em Andamento,N/A,N/A,2025-10-01
23.272655-2,DETRAN,Serviços de auditoria de segurança da informação e testes de intrusão (Pentest) - Fase 3,Pregão Eletrônico,4265249.62,0.0,Deserto,N/A,N/A,2025-09-29
22.324597-5,SETI,Consultoria especializada para Implantação de IA em Processos Jurídicos - Fase 1,Concorrência Pública,722604.92,0.0,Deserto,N/A,N/A,2025-09-26
22.173201-4,SEED,Desenvolvimento do Novo Portal de Transparência da CGE - Fase 3,Pregão Eletrônico,41466.71,0.0,Deserto,N/A,N/A,2025-09-12
22.940346-7,DETRAN,Desenvolvimento de aplicativo móvel para integração de serviços estaduais - Fase 2,Pregão Eletrônico,3245154.61,0.0,Revogado,N/A,N/A,2025-08-29
26.535686-2,SEAP,Serviços de Desenvolvimento de Chatbot E-Gov para atendimento ao cidadão - Fase 3,Dispensa de Licitação,1665383.16,0.0,Deserto,N/A,N/A,2025-08-28
21.467121-8,DETRAN,Licenciamento de Software de Inteligência Artificial para análise documental - Fase 2,Pregão Eletrônico,3638279.53,3167189.92,Homologado,Consultoria Eficiente S.A.,56.789.012/0001-56,2025-08-26
26.344762-4,SEAP,Suporte Técnico Especializado para Sistemas de Prontuário Eletrônico da SESA - Fase 1,Pregão Eletrônico,2924927.21,0.0,Deserto,N/A,N/A,2025-08-20
25.362529-0,Celepar,Consultoria especializada para Implantação de IA em Processos Jurídicos - Fase 3,Dispensa de Licitação,2601140.02,2548805.8,Homologado,Consultoria Eficiente S.A.,56.789.012/0001-56,2025-08-10
23.351083-0,SEAP,Serviços de auditoria de segurança da informação e testes de intrusão (Pentest) - Fase 3,Diálogo Competitivo,412870.93,,Em Andamento,N/A,N/A,2025-07-30
23.995993-8,SETI,Licenciamento de Software de Inteligência Artificial para análise documental - Fase 3,Pregão Eletrônico,2636670.12,2509290.0,Homologado,Brasil Software EIRELI,23.456.789/0001-34,2025-07-15
24.246991-6,SESA,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 2,Pregão Eletrônico,4156997.23,,Em Andamento,N/A,N/A,2025-07-13
23.196955-8,SEAP,Contratação de Nuvem Híbrida para o Programa Transforma Paraná - Fase 2,Pregão Eletrônico,2734213.43,2582775.54,Homologado,Inova Sul S.A.,98.765.432/0001-10,2025-07-06
23.891638-2,SEAP,Desenvolvimento de sistema de IA para detecção de fraudes em licitações - Fase 3,Pregão Eletrônico,209939.43,155013.02,Homologado,Inteligência Global ME,45.678.901/0001-23,2025-07-05
22.938742-2,SEED,Contratação de Nuvem Híbrida para o Programa Transforma Paraná - Fase 1,Inexigibilidade de Licitação,1514869.04,0.0,Revogado,N/A,N/A,2025-07-01
24.879414-7,SEED,Desenvolvimento do Novo Portal de Transparência da CGE - Fase 1,Pregão Eletrônico,2253929.56,0.0,Deserto,N/A,N/A,2025-06-29
24.185569-5,SEAP,Contratação de Nuvem Híbrida para o Programa Transforma Paraná - Fase 2,Diálogo Competitivo,3781118.01,0.0,Fracassado,N/A,N/A,2025-06-09
22.948102-1,DETRAN,Serviços de Desenvolvimento de Chatbot E-Gov para atendimento ao cidadão - Fase 3,Pregão Eletrônico,1179974.01,830635.12,Homologado,Inteligência Global ME,45.678.901/0001-23,2025-06-08
22.236306-8,CGE,Desenvolvimento de aplicativo móvel para integração de serviços estaduais - Fase 1,Pregão Eletrônico,3903022.06,2748355.49,Homologado,Startups PR Co.,34.567.890/0001-67,2025-06-03
26.307963-1,SEAP,Licenciamento de Software de Inteligência Artificial para análise documental - Fase 3,Inexigibilidade de Licitação,3830810.78,3535622.37,Homologado,Datashield Segurança Ltda,89.012.345/0001-45,2025-05-22
22.790731-9,DETRAN,Licenciamento de plataforma low-code para automação de processos internos - Fase 3,Pregão Eletrônico,3891101.93,2773302.37,Homologado,Consultoria Eficiente S.A.,56.789.012/0001-56,2025-04-29
24.301603-3,CGE,Licenciamento de banco de dados corporativo e suporte técnico - Fase 2,Pregão Eletrônico,4378910.51,0.0,Deserto,N/A,N/A,2025-04-29
24.654816-4,SEIA,Aquisição de computadores de alto desempenho e notebooks corporativos - Fase 3,Pregão Eletrônico,3985004.37,0.0,Deserto,N/A,N/A,2025-04-24
26.356702-2,SETI,Suporte Técnico Especializado para Sistemas de Prontuário Eletrônico da SESA - Fase 2,Concorrência Pública,2890798.93,2577702.25,Homologado,Startups PR Co.,34.567.890/0001-67,2025-04-23
25.567574-2,SETI,Conectividade e banda larga para Escolas Estaduais da SEED - Fase 2,Inexigibilidade de Licitação,3784187.11,0.0,Deserto,N/A,N/A,2025-04-18
24.153642-9,SEAP,Desenvolvimento do Novo Portal de Transparência da CGE - Fase 3,Pregão Eletrônico,1756979.25,,Em Andamento,N/A,N/A,2025-04-15
24.149161-5,SEED,Desenvolvimento de aplicativo móvel para integração de serviços estaduais - Fase 3,Pregão Eletrônico,1890971.11,1482462.31,Homologado,Inova Sul S.A.,98.765.432/0001-10,2025-03-26
26.623481-6,SETI,Serviços de Desenvolvimento de Chatbot E-Gov para atendimento ao cidadão - Fase 2,Pregão Eletrônico,3360100.75,0.0,Deserto,N/A,N/A,2025-03-10
26.386706-6,SETI,Conectividade e banda larga para Escolas Estaduais da SEED - Fase 1,Pregão Eletrônico,676549.6,648217.79,Homologado,Datashield Segurança Ltda,89.012.345/0001-45,2025-03-09
26.479430-1,SEED,Licenciamento de plataforma low-code para automação de processos internos - Fase 1,Pregão Eletrônico,2662254.66,2158595.15,Homologado,Inteligência Global ME,45.678.901/0001-23,2025-03-08
21.220944-4,SESA,Desenvolvimento de sistema de IA para detecção de fraudes em licitações - Fase 2,Pregão Eletrônico,2696673.51,0.0,Fracassado,N/A,N/A,2025-02-01
21.575458-2,SEED,Conectividade e banda larga para Escolas Estaduais da SEED - Fase 3,Pregão Eletrônico,2096831.03,0.0,Deserto,N/A,N/A,2025-01-21
23.680933-9,DETRAN,Conectividade e banda larga para Escolas Estaduais da SEED - Fase 3,Pregão Eletrônico,3982581.62,3132704.28,Homologado,Consultoria Eficiente S.A.,56.789.012/0001-56,2025-01-12
26.297383-5,SETI,Licenciamento de banco de dados corporativo e suporte técnico - Fase 1,Concorrência Pública,2043838.3,0.0,Fracassado,N/A,N/A,2025-01-02
21.515182-4,SEIA,Contratação de consultoria para governança de dados e LGPD - Fase 1,Pregão Eletrônico,232445.42,0.0,Fracassado,N/A,N/A,2024-12-05
23.308894-6,SETI,Licenciamento de Software de Inteligência Artificial para análise documental - Fase 1,Pregão Eletrônico,1634547.43,0.0,Deserto,N/A,N/A,2024-12-03
21.469412-8,DETRAN,Licenciamento de plataforma low-code para automação de processos internos - Fase 3,Pregão Eletrônico,3512767.39,,Em Andamento,N/A,N/A,2024-11-25
25.505785-8,Celepar,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 2,Inexigibilidade de Licitação,989129.8,0.0,Deserto,N/A,N/A,2024-11-22
22.568436-4,DETRAN,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 3,Inexigibilidade de Licitação,81117.73,0.0,Fracassado,N/A,N/A,2024-11-19
26.353961-0,Celepar,Consultoria especializada para Implantação de IA em Processos Jurídicos - Fase 1,Pregão Eletrônico,1901947.93,0.0,Revogado,N/A,N/A,2024-11-15
22.165142-1,SETI,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 1,Pregão Eletrônico,2276266.51,0.0,Deserto,N/A,N/A,2024-11-14
25.679364-2,SEED,Serviços de Desenvolvimento de Chatbot E-Gov para atendimento ao cidadão - Fase 1,Pregão Eletrônico,4048447.25,3852902.79,Homologado,Inova Sul S.A.,98.765.432/0001-10,2024-10-28
22.583550-4,SETI,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 3,Pregão Eletrônico,3626709.85,0.0,Deserto,N/A,N/A,2024-10-19
23.444061-1,SEIA,Conectividade e banda larga para Escolas Estaduais da SEED - Fase 3,Pregão Eletrônico,607460.09,510311.1,Homologado,Startups PR Co.,34.567.890/0001-67,2024-09-30
21.496922-1,CGE,Licenciamento de plataforma low-code para automação de processos internos - Fase 3,Pregão Eletrônico,3881829.84,3483088.72,Homologado,TechPar Soluções Ltda,12.345.678/0001-90,2024-09-16
25.443939-9,SEAP,Aquisição de computadores de alto desempenho e notebooks corporativos - Fase 1,Pregão Eletrônico,2105275.89,0.0,Deserto,N/A,N/A,2024-08-22
23.913423-3,DETRAN,Consultoria especializada para Implantação de IA em Processos Jurídicos - Fase 3,Pregão Eletrônico,1150301.8,1007560.24,Homologado,Consultoria Eficiente S.A.,56.789.012/0001-56,2024-08-16
21.667451-0,Celepar,Serviços de auditoria de segurança da informação e testes de intrusão (Pentest) - Fase 2,Pregão Eletrônico,1857635.2,1698680.61,Homologado,Consultoria Eficiente S.A.,56.789.012/0001-56,2024-08-15
22.526673-7,SETI,Aquisição de computadores de alto desempenho e notebooks corporativos - Fase 1,Inexigibilidade de Licitação,1313985.32,0.0,Deserto,N/A,N/A,2024-08-15
25.940010-2,SEIA,Serviços de Desenvolvimento de Chatbot E-Gov para atendimento ao cidadão - Fase 3,Inexigibilidade de Licitação,1988632.53,1429479.46,Homologado,Startups PR Co.,34.567.890/0001-67,2024-08-14
26.832409-6,SESA,Desenvolvimento de sistema de IA para detecção de fraudes em licitações - Fase 3,Diálogo Competitivo,1413831.04,0.0,Revogado,N/A,N/A,2024-08-10
25.377511-3,SEED,Desenvolvimento de sistema de IA para detecção de fraudes em licitações - Fase 3,Pregão Eletrônico,4003816.06,0.0,Deserto,N/A,N/A,2024-08-07
22.910620-4,Celepar,Licenciamento de plataforma low-code para automação de processos internos - Fase 1,Dispensa de Licitação,1729164.23,,Em Andamento,N/A,N/A,2024-07-25
23.704238-0,SESA,Conectividade e banda larga para Escolas Estaduais da SEED - Fase 3,Inexigibilidade de Licitação,4124845.36,4038820.61,Homologado,Brasil Software EIRELI,23.456.789/0001-34,2024-07-24
24.411797-9,SEED,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 3,Pregão Eletrônico,2755050.18,2659519.52,Homologado,Inova Sul S.A.,98.765.432/0001-10,2024-07-05
25.964998-0,SETI,Suporte Técnico Especializado para Sistemas de Prontuário Eletrônico da SESA - Fase 1,Pregão Eletrônico,1647153.74,,Em Andamento,N/A,N/A,2024-07-04
25.945687-8,SEAP,Desenvolvimento do Novo Portal de Transparência da CGE - Fase 2,Pregão Eletrônico,2999142.45,0.0,Fracassado,N/A,N/A,2024-06-30
21.554582-5,SETI,Contratação de consultoria para governança de dados e LGPD - Fase 1,Pregão Eletrônico,3310065.01,0.0,Deserto,N/A,N/A,2024-06-15
22.805477-4,SEAP,Desenvolvimento de aplicativo móvel para integração de serviços estaduais - Fase 1,Pregão Eletrônico,236575.32,,Em Andamento,N/A,N/A,2024-06-05
25.495129-5,SESA,Conectividade e banda larga para Escolas Estaduais da SEED - Fase 3,Pregão Eletrônico,1613662.84,0.0,Deserto,N/A,N/A,2024-06-03
26.208618-2,CGE,Licenciamento de Software de Inteligência Artificial para análise documental - Fase 1,Inexigibilidade de Licitação,724852.16,0.0,Deserto,N/A,N/A,2024-05-23
21.976822-6,SETI,Serviços de Desenvolvimento de Chatbot E-Gov para atendimento ao cidadão - Fase 3,Concorrência Pública,4169397.45,2929397.0,Homologado,Datashield Segurança Ltda,89.012.345/0001-45,2024-05-19
21.214975-2,SESA,Desenvolvimento de aplicativo móvel para integração de serviços estaduais - Fase 3,Pregão Eletrônico,313968.85,0.0,Revogado,N/A,N/A,2024-05-05
26.431495-2,SETI,Licenciamento de Software de Inteligência Artificial para análise documental - Fase 2,Pregão Eletrônico,1383607.35,0.0,Deserto,N/A,N/A,2024-04-26
23.175576-6,SEIA,Suporte Técnico Especializado para Sistemas de Prontuário Eletrônico da SESA - Fase 1,Pregão Eletrônico,378045.88,0.0,Fracassado,N/A,N/A,2024-03-25
24.535970-0,SEAP,Licenciamento de plataforma low-code para automação de processos internos - Fase 2,Pregão Eletrônico,3470987.1,3262328.6,Homologado,Startups PR Co.,34.567.890/0001-67,2024-03-25
26.996840-1,SEED,Conectividade e banda larga para Escolas Estaduais da SEED - Fase 3,Pregão Eletrônico,3569425.55,2948079.36,Homologado,Startups PR Co.,34.567.890/0001-67,2024-03-16
23.934816-0,CGE,Desenvolvimento do Novo Portal de Transparência da CGE - Fase 2,Pregão Eletrônico,1121562.52,0.0,Revogado,N/A,N/A,2024-03-05
26.812131-6,SESA,Licenciamento de plataforma low-code para automação de processos internos - Fase 2,Dispensa de Licitação,4413827.24,4210526.72,Homologado,Datashield Segurança Ltda,89.012.345/0001-45,2024-03-01
25.393308-9,Celepar,Serviços de Desenvolvimento de Chatbot E-Gov para atendimento ao cidadão - Fase 1,Pregão Eletrônico,3583190.61,0.0,Fracassado,N/A,N/A,2024-02-17
25.596520-3,SEAP,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 3,Pregão Eletrônico,2099722.46,1800444.96,Homologado,Brasil Software EIRELI,23.456.789/0001-34,2024-02-16
23.250219-8,SEAP,Suporte Técnico Especializado para Sistemas de Prontuário Eletrônico da SESA - Fase 2,Pregão Eletrônico,2518529.99,2204414.09,Homologado,Brasil Software EIRELI,23.456.789/0001-34,2024-02-13
26.322409-9,SEIA,Contratação de Nuvem Híbrida para o Programa Transforma Paraná - Fase 2,Pregão Eletrônico,592879.77,426405.56,Homologado,Startups PR Co.,34.567.890/0001-67,2024-02-10
23.795612-1,CGE,Licenciamento de banco de dados corporativo e suporte técnico - Fase 2,Inexigibilidade de Licitação,1488037.58,0.0,Deserto,N/A,N/A,2024-02-10
22.956572-3,SESA,Licenciamento de plataforma low-code para automação de processos internos - Fase 2,Pregão Eletrônico,2178240.23,0.0,Fracassado,N/A,N/A,2024-02-10
23.134305-5,SEAP,Conectividade e banda larga para Escolas Estaduais da SEED - Fase 2,Concorrência Pública,3853862.36,3756204.57,Homologado,Inteligência Global ME,45.678.901/0001-23,2024-01-21
25.184491-2,SESA,Consultoria especializada para Implantação de IA em Processos Jurídicos - Fase 2,Inexigibilidade de Licitação,3187693.56,2601677.57,Homologado,Inteligência Global ME,45.678.901/0001-23,2024-01-17
24.600149-0,DETRAN,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 2,Dispensa de Licitação,4291833.61,0.0,Revogado,N/A,N/A,2024-01-08
24.589710-0,Celepar,Contratação de Nuvem Híbrida para o Programa Transforma Paraná - Fase 2,Inexigibilidade de Licitação,3608648.52,2777301.69,Homologado,Inova Sul S.A.,98.765.432/0001-10,2024-01-04
21.197251-6,Celepar,Desenvolvimento do Novo Portal de Transparência da CGE - Fase 2,Pregão Eletrônico,3637863.38,,Em Andamento,N/A,N/A,2024-01-04
23.270555-5,DETRAN,Consultoria especializada para Implantação de IA em Processos Jurídicos - Fase 3,Pregão Eletrônico,4216846.01,3671003.47,Homologado,Inova Sul S.A.,98.765.432/0001-10,2023-12-30
21.897549-8,SESA,Serviços de Desenvolvimento de Chatbot E-Gov para atendimento ao cidadão - Fase 3,Pregão Eletrônico,2487622.06,0.0,Deserto,N/A,N/A,2023-12-17
22.891615-8,Celepar,Desenvolvimento do Novo Portal de Transparência da CGE - Fase 2,Pregão Eletrônico,3061633.98,,Em Andamento,N/A,N/A,2023-12-16
24.651231-6,SEED,Licenciamento de plataforma low-code para automação de processos internos - Fase 3,Pregão Eletrônico,4376537.4,3614988.64,Homologado,Consultoria Eficiente S.A.,56.789.012/0001-56,2023-11-26
22.982277-1,SETI,Licenciamento de Software de Inteligência Artificial para análise documental - Fase 3,Dispensa de Licitação,2257738.51,0.0,Deserto,N/A,N/A,2023-11-09
22.622469-8,SETI,Conectividade e banda larga para Escolas Estaduais da SEED - Fase 2,Pregão Eletrônico,432519.45,0.0,Revogado,N/A,N/A,2023-11-02
22.411120-3,SEIA,Desenvolvimento de sistema de IA para detecção de fraudes em licitações - Fase 3,Pregão Eletrônico,3373450.75,2408778.28,Homologado,Brasil Software EIRELI,23.456.789/0001-34,2023-10-27
21.701800-2,DETRAN,Suporte Técnico Especializado para Sistemas de Prontuário Eletrônico da SESA - Fase 2,Pregão Eletrônico,1145764.09,810348.22,Homologado,Inova Sul S.A.,98.765.432/0001-10,2023-10-20
23.123005-6,CGE,Contratação de Nuvem Híbrida para o Programa Transforma Paraná - Fase 3,Dispensa de Licitação,3509052.92,3351049.91,Homologado,Consultoria Eficiente S.A.,56.789.012/0001-56,2023-10-15
24.195674-7,DETRAN,Suporte Técnico Especializado para Sistemas de Prontuário Eletrônico da SESA - Fase 2,Pregão Eletrônico,497561.48,394240.36,Homologado,Consultoria Eficiente S.A.,56.789.012/0001-56,2023-10-12
26.660081-2,CGE,Contratação de Nuvem Híbrida para o Programa Transforma Paraná - Fase 1,Pregão Eletrônico,3147455.75,2765365.65,Homologado,Startups PR Co.,34.567.890/0001-67,2023-10-03
21.464069-8,SEED,Aquisição de computadores de alto desempenho e notebooks corporativos - Fase 2,Pregão Eletrônico,2924518.35,2742850.71,Homologado,Startups PR Co.,34.567.890/0001-67,2023-10-01
23.341736-1,SEAP,Desenvolvimento do Novo Portal de Transparência da CGE - Fase 1,Inexigibilidade de Licitação,4280422.69,3225861.25,Homologado,Consultoria Eficiente S.A.,56.789.012/0001-56,2023-09-19
22.530311-8,SETI,Licenciamento de plataforma low-code para automação de processos internos - Fase 3,Inexigibilidade de Licitação,3184815.29,2729540.52,Homologado,Consultoria Eficiente S.A.,56.789.012/0001-56,2023-09-07
21.112861-9,CGE,Conectividade e banda larga para Escolas Estaduais da SEED - Fase 2,Pregão Eletrônico,854105.61,658254.03,Homologado,Startups PR Co.,34.567.890/0001-67,2023-09-06
24.746447-4,DETRAN,Licenciamento de banco de dados corporativo e suporte técnico - Fase 3,Pregão Eletrônico,3198066.93,0.0,Deserto,N/A,N/A,2023-08-31
21.197573-4,SEAP,Suporte Técnico Especializado para Sistemas de Prontuário Eletrônico da SESA - Fase 3,Pregão Eletrônico,2997901.3,0.0,Fracassado,N/A,N/A,2023-08-28
25.974224-0,CGE,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 1,Pregão Eletrônico,2622531.97,0.0,Fracassado,N/A,N/A,2023-08-11
22.663356-6,SESA,Contratação de consultoria para governança de dados e LGPD - Fase 1,Dispensa de Licitação,3410121.98,0.0,Deserto,N/A,N/A,2023-08-07
24.701253-6,SEED,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 1,Pregão Eletrônico,4348912.62,4020005.24,Homologado,Datashield Segurança Ltda,89.012.345/0001-45,2023-08-01
23.638169-9,Celepar,Conectividade e banda larga para Escolas Estaduais da SEED - Fase 3,Pregão Eletrônico,2779527.56,0.0,Deserto,N/A,N/A,2023-07-28
25.265649-1,SETI,Desenvolvimento do Novo Portal de Transparência da CGE - Fase 3,Pregão Eletrônico,4330269.96,0.0,Deserto,N/A,N/A,2023-07-25
21.916232-6,SEAP,Serviços de Desenvolvimento de Chatbot E-Gov para atendimento ao cidadão - Fase 3,Pregão Eletrônico,254476.18,243506.12,Homologado,TechPar Soluções Ltda,12.345.678/0001-90,2023-07-24
25.708093-7,SESA,Conectividade e banda larga para Escolas Estaduais da SEED - Fase 3,Pregão Eletrônico,1516006.6,0.0,Revogado,N/A,N/A,2023-07-22
23.189318-3,Celepar,Licenciamento de banco de dados corporativo e suporte técnico - Fase 2,Pregão Eletrônico,3564611.51,3269440.97,Homologado,Brasil Software EIRELI,23.456.789/0001-34,2023-07-12
22.377501-1,SESA,Consultoria especializada para Implantação de IA em Processos Jurídicos - Fase 1,Pregão Eletrônico,729700.79,0.0,Revogado,N/A,N/A,2023-07-12
22.244283-0,CGE,Serviços de auditoria de segurança da informação e testes de intrusão (Pentest) - Fase 2,Inexigibilidade de Licitação,650403.33,,Em Andamento,N/A,N/A,2023-07-08
22.717457-5,SEIA,Serviços de Desenvolvimento de Chatbot E-Gov para atendimento ao cidadão - Fase 2,Pregão Eletrônico,3345479.71,3040326.05,Homologado,Brasil Software EIRELI,23.456.789/0001-34,2023-07-08
22.855053-6,SETI,Licenciamento de banco de dados corporativo e suporte técnico - Fase 1,Inexigibilidade de Licitação,2917185.96,,Em Andamento,N/A,N/A,2023-07-07
23.479742-6,SEIA,Desenvolvimento de sistema de IA para detecção de fraudes em licitações - Fase 1,Inexigibilidade de Licitação,4271241.18,0.0,Fracassado,N/A,N/A,2023-06-29
22.174878-0,SESA,Desenvolvimento de aplicativo móvel para integração de serviços estaduais - Fase 2,Pregão Eletrônico,3714354.15,0.0,Deserto,N/A,N/A,2023-06-19
25.543692-3,SEAP,Contratação de consultoria para governança de dados e LGPD - Fase 2,Pregão Eletrônico,3032440.71,0.0,Fracassado,N/A,N/A,2023-06-17
21.977330-7,SEIA,Aquisição de computadores de alto desempenho e notebooks corporativos - Fase 3,Pregão Eletrônico,3241893.15,0.0,Deserto,N/A,N/A,2023-05-30
25.238739-9,SETI,Consultoria especializada para Implantação de IA em Processos Jurídicos - Fase 2,Dispensa de Licitação,881132.32,779374.9,Homologado,Inteligência Global ME,45.678.901/0001-23,2023-05-18
23.606404-3,SEED,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 2,Pregão Eletrônico,297811.26,,Em Andamento,N/A,N/A,2023-05-02
